Year,Quarter,Y,Y_growth
1995,1,532808.7,530303.8626265853
1995,2,536781.8,532666.6916921658
1995,3,537827.4,535031.0862811046
1995,4,537897.1,537401.1838594521
1996,1,533505.8,539782.8695893332
1996,2,540754.9,542182.33858046
1996,3,542636.9,544601.8627740518
1996,4,546679.6,547042.8219622141
1997,1,543769.3,549505.3678353193
1997,2,550739.8,551989.4250700126
1997,3,552621.9,554491.3333005435
1997,4,556734.5,557006.6511454915
1998,1,561857.4,559529.7688276246
1998,2,559487.6,562054.9064752432
1998,3,562275.6,564577.7389861317
1998,4,559766.4,567092.3366915269
1999,1,566248.8,569591.3310857993
1999,2,566248.9,572062.7749528873
1999,3,572800.7,574492.6319948006
1999,4,577261.5,576863.2322417035
2000,1,585504.1,579155.8482662631
2000,2,590313.6,581352.0015584957
2000,3,590174.3,583437.1812657508
2000,4,588292.3,585402.4775344041
2001,1,600141.7,587243.1912100404
2001,2,599862.9,588956.4292772848
2001,3,598817.4,590547.3602887562
2001,4,598190.1,592027.9693412759
2002,1,595036.1,593415.4103064839
2002,2,597545.3,594730.6883876822
2002,3,600612.1,595995.821719232
2002,4,599775.8,597234.5875677506
2003,1,590801.6,598473.6483737819
2003,2,591498.6,599741.2548356387
2003,3,596029.3,601060.8626214016
2003,4,597632.4,602450.7757398776
2004,1,596586.9,603926.1534732366
2004,2,599653.8,605499.1436188108
2004,3,598468.9,607177.3069405115
2004,4,597841.5,608964.5508624883
2005,1,597841.5,610859.3400545527
2005,2,601047.8,612853.1872797273
2005,3,606136.2,614929.4691510014
2005,4,609063.7,617064.1839143136
2006,1,614918.7,619227.8340223834
2006,2,625513.6,621385.9216254835
2006,3,630392.8,623501.2556651229
2006,4,639872.3,625539.2248817945
2007,1,640343.0,627469.5252312007
2007,2,645710.0,629270.8108409927
2007,3,648986.0,630929.7817605522
2007,4,653307.4,632443.4125324859
2008,1,657437.5,633819.9628357989
2008,2,655764.6,635080.7323416641
2008,3,651652.2,636261.7816819822
2008,4,641196.7,637412.0989059404
2009,1,611224.5,638590.2910741752
2009,2,612200.4,639857.3306230062
2009,3,615546.1,641257.0863693325
2009,4,620076.8,642816.1415484138
2010,1,625234.8,644545.010029029
2010,2,639175.3,646439.993591489
2010,3,644472.8,648485.3251348372
2010,4,649561.1,650660.6971246215
2011,1,662316.7,652943.2941981814
2011,2,662874.3,655309.6137446533
2011,3,668659.7,657742.0115317998
2011,4,666568.6,660227.5712562933
2012,1,668014.9,662760.2001700992
2012,2,669409.0,665337.7686681472
2012,3,671221.2,667961.431332761
2012,4,668293.7,670634.8872658468
2013,1,665244.2,673363.8729247269
2013,2,672353.9,676152.6615246835
2013,3,675978.5,679000.4514854206
2013,4,678139.3,681904.067000689
2014,1,684621.7,684858.4435445612
2014,2,684691.3,687856.1636117343
2014,3,688037.1,690889.66173219
2014,4,693752.7,693949.3943961532
2015,1,690250.3,697024.0352427656
2015,2,695199.1,700102.1349771719
2015,3,698196.2,703168.0107199892
2015,4,701472.1,706202.9151949745
2016,1,707553.9,709184.9937441846
2016,2,710342.0,712089.4349501794
2016,3,712084.6,714890.4079619285
2016,4,714803.0,717560.9897815579
2017,1,723585.5,720072.5037812177
2017,2,728325.3,722394.5495894442
2017,3,734738.0,724498.9224574104
2017,4,740871.8,726361.1243552963
2018,1,739338.4,727963.0566767459
2018,2,742823.5,729295.689987682
2018,3,740383.9,730357.1044436038
2018,4,742893.2,731153.8350812686
2019,1,747441.4,731698.6836846559
2019,2,743677.3,732011.7891408211
2019,3,745977.6,732123.1295345157
2019,4,745838.2,732069.9738947791
2020,1,731688.2,731898.2502946914
2020,2,660031.9,731662.4919486488
2020,3,716004.6,731417.100789613
